,incumplimiento,tipo_de_cuenta,genero,edad_del_cliente,co_solicitantes,dependientes,monto_del_prestamo,ubicacion_de_sucursal,nivel_de_producto,estatus_laboral,es_sostenedor_principal,grupo_de_puntaje_crediticio,area_residencial,estado_actual_de_la_cuenta,tiene_cuenta_conjunta,indicador_aleatorio,residencial_Rural,residencial_Suburbana,residencial_Urbana
43,0.0,1,female,42.90568254170324,1,2,41.5792,Central,Second,child,False,,Rural,yes,1,0.8289473188405113,1.0,0.0,0.0
44,1.0,2,female,18.0,0,0,7.8792,Quito,Third,woman,False,,Urbana,yes,1,0.8986591357386448,0.0,0.0,1.0
45,0.0,1,male,48.90741569321934,0,0,8.05,Suburbana,Third,man,True,,Rural,no,1,0.0261378013245198,1.0,0.0,0.0
46,0.0,1,male,46.68243143459355,1,0,15.5,Quito,Third,man,True,,Suburbana,no,1,0.3994918612409104,0.0,1.0,0.0
47,0.0,2,female,23.995957430021672,0,0,7.75,Quito,Third,woman,False,,Urbana,yes,1,0.8270933594422675,0.0,0.0,1.0
48,1.0,3,male,22.995069210518,2,0,21.6792,Central,Third,man,True,,Urbana,no,1,0.7061471218952697,0.0,0.0,1.0
49,1.0,2,female,31.34882375157152,1,0,17.8,Suburbana,Third,woman,False,,Urbana,no,1,0.117997638454017,0.0,0.0,1.0
50,1.0,3,male,25.13754851014918,4,1,39.6875,Suburbana,Third,child,False,,Urbana,no,1,0.138824616977145,0.0,0.0,1.0
51,0.0,1,male,47.77558505195898,0,0,7.8,Suburbana,Third,man,True,,Suburbana,no,1,0.3726340815946291,0.0,1.0,0.0
52,1.0,1,female,45.61609103678551,1,0,76.7292,Central,First,woman,False,D,Rural,yes,1,0.2385467703249213,1.0,0.0,0.0
53,1.0,1,female,42.69438464796891,1,0,26.0,Suburbana,Second,woman,False,,Suburbana,yes,1,0.0525154752193909,0.0,1.0,0.0
54,0.0,3,male,23.60351665360814,0,1,61.9792,Central,First,man,True,B,Urbana,no,0,0.6075505504395732,0.0,0.0,1.0
55,0.0,1,male,45.40786502669289,0,0,35.5,Suburbana,First,man,True,C,Suburbana,yes,1,0.9626858539547556,0.0,1.0,0.0
56,0.0,1,female,54.40160474161361,0,0,10.5,Suburbana,Second,woman,False,,Rural,yes,1,0.7230560537792264,1.0,0.0,0.0
57,0.0,2,male,18.0,0,0,7.2292,Central,Third,man,True,,Urbana,no,1,0.9666694249514692,0.0,0.0,1.0
58,0.0,2,female,18.0,1,2,27.75,Suburbana,Second,child,False,,Urbana,yes,0,0.765543192140322,0.0,0.0,1.0
59,0.0,1,male,53.26495846122617,5,2,46.9,Suburbana,Third,child,False,,Rural,no,1,0.426200469609034,1.0,0.0,0.0
60,1.0,2,male,23.64396330054918,0,0,7.2292,Central,Third,man,True,,Urbana,no,1,0.5278923320744907,0.0,0.0,1.0
61,0.0,1,female,48.82354907317182,0,0,80.0,,First,woman,False,B,Rural,yes,1,0.9690054040652366,1.0,0.0,0.0
62,0.0,1,male,51.23323141792879,1,0,83.475,Suburbana,First,man,True,C,Rural,no,1,0.8513245397335183,1.0,0.0,0.0
63,1.0,2,male,21.78523723323555,3,2,27.9,Suburbana,Third,child,False,,Urbana,no,0,0.9595230810321842,0.0,0.0,1.0
64,0.0,3,male,29.4812421267808,0,0,27.7208,Central,First,man,True,,Urbana,no,1,0.9565870910126132,0.0,0.0,1.0
65,1.0,2,male,21.21753235559626,1,1,15.2458,Central,Third,man,True,,Urbana,yes,0,0.0655356259419197,0.0,0.0,1.0
66,1.0,2,female,30.27378962590141,0,0,10.5,Suburbana,Second,woman,False,F,Urbana,yes,1,0.1021549347703909,0.0,0.0,1.0
67,0.0,1,male,52.23698311811233,0,0,8.1583,Suburbana,Third,man,True,,Rural,no,1,0.3344997781658175,1.0,0.0,0.0
68,0.0,2,female,25.4308842119006,4,2,7.925,Suburbana,Third,woman,False,,Urbana,yes,1,0.5705890891820393,0.0,0.0,1.0
69,0.0,2,male,31.98948130543368,2,0,8.6625,Suburbana,Third,man,True,,Urbana,no,0,0.5167011224542166,0.0,0.0,1.0
70,1.0,1,male,49.5601218437126,0,0,10.5,Suburbana,Second,man,True,,Rural,no,1,0.3198762037551625,1.0,0.0,0.0
71,1.0,1,female,47.96656316447448,5,2,46.9,Suburbana,Third,woman,False,,Suburbana,no,1,0.9736067725575612,0.0,1.0,0.0
72,1.0,2,male,21.520824403252263,0,0,73.5,Suburbana,Second,man,True,,Urbana,no,0,0.246371840689288,0.0,0.0,1.0
73,0.0,2,male,18.13473231979036,1,0,14.4542,Central,Third,man,True,,Urbana,no,0,0.5120696232005864,0.0,0.0,1.0
74,1.0,3,male,23.12388799619664,0,0,56.4958,Suburbana,Third,man,True,,Urbana,yes,1,0.5533277970087225,0.0,0.0,1.0
75,0.0,1,male,43.92065782348856,0,0,7.65,Suburbana,Third,man,True,F,Rural,no,1,0.7600940255606987,1.0,0.0,0.0
76,0.0,1,male,48.99173026882312,0,0,7.8958,Suburbana,Third,man,True,,Rural,no,1,0.282216669630691,1.0,0.0,0.0
77,0.0,2,male,18.0,0,0,8.05,Suburbana,Third,man,True,,Urbana,no,0,0.3642905090895352,0.0,0.0,1.0
78,1.0,2,male,23.54479268363487,0,2,29.0,Suburbana,Second,child,False,,Urbana,yes,1,0.2514618054043673,0.0,0.0,1.0
79,1.0,1,female,49.0010229821228,0,0,12.475,Suburbana,Third,woman,False,,Suburbana,yes,1,0.8834029316012304,0.0,1.0,0.0
80,1.0,3,male,27.63798691387158,0,0,9.0,Suburbana,Third,man,True,,Urbana,no,1,0.5795839996934933,0.0,0.0,1.0
81,1.0,1,male,49.2059680903341,0,0,9.5,Suburbana,Third,man,True,,Rural,yes,1,0.7039975972451027,1.0,0.0,0.0
82,0.0,1,female,44.44594022876535,0,0,7.7875,Quito,Third,woman,False,,Suburbana,yes,1,0.9261675675019546,0.0,1.0,0.0
83,1.0,3,male,20.06356653271174,0,0,47.1,Suburbana,First,man,True,,Urbana,no,1,0.8623546593765836,0.0,0.0,1.0
84,0.0,1,female,45.75092896589131,0,0,10.5,Suburbana,Second,woman,False,,Rural,yes,1,0.8326642035246854,1.0,0.0,0.0
85,1.0,1,female,47.17298839631833,3,0,15.85,Suburbana,Third,woman,False,,Suburbana,yes,1,0.819223729815154,0.0,1.0,0.0
86,1.0,1,male,46.2726360905608,1,3,34.375,Suburbana,Third,man,True,,Suburbana,no,1,0.6591604190088919,0.0,1.0,0.0
87,0.0,1,male,46.78109060866481,0,0,8.05,Suburbana,Third,man,True,,Rural,no,1,0.8059091715569752,1.0,0.0,0.0
88,0.0,1,female,48.676825963413314,3,2,263.0,Suburbana,First,woman,False,C,Suburbana,yes,1,0.569148069874588,0.0,1.0,0.0
89,0.0,1,male,46.88788799033864,0,0,8.05,Suburbana,Third,man,True,,Suburbana,no,1,0.126166202318766,0.0,1.0,0.0
90,0.0,1,male,47.86621372063243,0,0,8.05,Suburbana,Third,man,True,,Suburbana,no,1,0.2440505774198295,0.0,1.0,0.0
91,0.0,3,male,28.239838955049443,0,0,7.8542,Suburbana,Third,man,True,,Urbana,no,1,0.9119597693432746,0.0,0.0,1.0
92,0.0,1,male,50.01171135093273,1,0,61.175,Suburbana,First,man,True,E,Rural,no,1,0.5545091008239096,1.0,0.0,0.0
93,1.0,2,male,29.770947904493823,1,2,20.575,Suburbana,Third,man,True,,Urbana,no,0,0.0616817683852746,0.0,0.0,1.0
94,0.0,1,male,51.7952335142663,0,0,7.25,Suburbana,Third,man,True,,Suburbana,no,1,0.7979864056580066,0.0,1.0,0.0
95,0.0,1,male,47.5662995491988,0,0,8.05,Suburbana,Third,man,True,,Rural,no,1,0.942537267436414,1.0,0.0,0.0
96,1.0,2,male,25.709033195767272,0,0,34.6542,Central,First,man,True,A,Urbana,no,0,0.5089975660713173,0.0,0.0,1.0
97,1.0,2,male,21.10908239271939,0,1,63.3583,Central,First,man,True,D,Urbana,yes,1,0.7134403852995851,0.0,0.0,1.0
98,0.0,1,female,45.96592265530665,0,1,23.0,Suburbana,Second,woman,False,,Rural,yes,1,0.5742086454706546,1.0,0.0,0.0
99,0.0,1,male,45.69025177666405,1,0,26.0,Suburbana,Second,man,True,,Rural,no,1,0.6693597922879757,1.0,0.0,0.0
100,0.0,1,female,50.84175590332124,0,0,7.8958,Suburbana,Third,woman,False,,Rural,no,1,0.4702574510740989,1.0,0.0,0.0
101,1.0,3,male,25.657869839540343,0,0,7.8958,Suburbana,Third,man,True,,Urbana,no,0,0.0585173534073867,0.0,0.0,1.0
102,1.0,2,male,25.96606776616848,0,1,77.2875,Suburbana,First,man,True,D,Urbana,no,1,0.8623670548215178,0.0,0.0,1.0
103,0.0,2,male,21.016123468468496,0,0,8.6542,Suburbana,Third,man,True,,Urbana,no,0,0.3113431136889126,0.0,0.0,1.0
104,1.0,3,male,24.329336086157895,2,0,7.925,Suburbana,Third,man,True,,Urbana,no,1,0.4588825253865066,0.0,0.0,1.0
105,1.0,2,male,26.19572790326893,0,0,7.8958,Suburbana,Third,man,True,,Urbana,no,0,0.9423962434775854,0.0,0.0,1.0
106,1.0,1,female,48.38694873227223,0,0,7.65,Suburbana,Third,woman,False,,Suburbana,yes,1,0.6047758821763909,0.0,1.0,0.0
107,1.0,3,male,32.5937966848179,0,0,7.775,Suburbana,Third,man,True,,Urbana,yes,1,0.7859592687146916,0.0,0.0,1.0
108,0.0,1,male,52.40807630970085,0,0,7.8958,Suburbana,Third,man,True,,Suburbana,no,1,0.3081085123100676,0.0,1.0,0.0
109,1.0,3,female,24.79990637324184,1,0,24.15,Quito,Third,woman,False,,Urbana,yes,0,0.8288155929704959,0.0,0.0,1.0
110,1.0,3,male,26.536323902527958,0,0,52.0,Suburbana,First,man,True,C,Urbana,no,0,0.7985197675604282,0.0,0.0,1.0
111,0.0,1,female,45.08668628866655,1,0,14.4542,Central,Third,child,False,,Suburbana,no,1,0.2052505112238872,0.0,1.0,0.0
112,0.0,3,male,23.22024253476597,0,0,8.05,Suburbana,Third,man,True,,Urbana,no,1,0.9158443413957296,0.0,0.0,1.0
113,0.0,1,female,47.65467759453832,1,0,9.825,Suburbana,Third,woman,False,,Suburbana,no,1,0.9880751790818872,0.0,1.0,0.0
114,0.0,2,female,24.138996036515582,0,0,14.4583,Central,Third,woman,False,,Urbana,no,1,0.3697563903184995,0.0,0.0,1.0
115,0.0,3,male,33.703147229476656,0,0,7.925,Suburbana,Third,man,True,,Urbana,no,1,0.9252375027931355,0.0,0.0,1.0
116,0.0,2,male,25.00735500122705,0,0,7.75,Quito,Third,man,True,,Urbana,no,1,0.6647270841157334,0.0,0.0,1.0
117,0.0,1,male,47.79107526465919,1,0,21.0,Suburbana,Second,man,True,,Suburbana,no,1,0.9502378510337872,0.0,1.0,0.0
118,1.0,1,male,49.27877619233431,0,1,247.5208,Central,First,man,True,B,Rural,no,1,0.3549171266065839,1.0,0.0,0.0
119,1.0,3,female,29.12686116043757,4,2,31.275,Suburbana,Third,child,False,,Urbana,no,0,0.999380248104798,0.0,0.0,1.0
120,1.0,1,male,50.39001632509402,2,0,73.5,Suburbana,Second,man,True,,Rural,no,1,0.4526514533353432,1.0,0.0,0.0
121,0.0,2,male,18.0,0,0,8.05,Suburbana,Third,man,True,,Urbana,no,1,0.5300833998612324,0.0,0.0,1.0
122,0.0,1,male,46.60921207606172,1,0,30.0708,Central,Second,man,True,,Suburbana,no,1,0.6036811271906131,0.0,1.0,0.0
123,1.0,3,female,35.85582474659083,0,0,13.0,Suburbana,Second,woman,False,E,Urbana,yes,0,0.2945837069956928,0.0,0.0,1.0
124,1.0,2,male,28.38731084673206,0,1,77.2875,Suburbana,First,man,True,D,Urbana,no,0,0.7094036200776411,0.0,0.0,1.0
125,0.0,1,male,45.98261865667215,1,0,11.2417,Central,Third,child,False,,Rural,yes,1,0.0669778710802001,1.0,0.0,0.0
126,0.0,1,male,55.14223605365925,0,0,7.75,Quito,Third,man,True,,Rural,no,1,0.1072545433895674,1.0,0.0,0.0
127,1.0,2,male,18.0,0,0,7.1417,Suburbana,Third,man,True,,Urbana,yes,1,0.50395460426982,0.0,0.0,1.0
128,1.0,3,female,24.183725255834105,1,1,22.3583,Central,Third,woman,False,F,Urbana,yes,0,0.5256200239152268,0.0,0.0,1.0
129,0.0,1,male,43.97550982325088,0,0,6.975,Suburbana,Third,man,True,,Suburbana,no,1,0.8451601840890703,0.0,1.0,0.0
130,0.0,1,male,50.05350332057757,0,0,7.8958,Central,Third,man,True,,Rural,no,1,0.9721537210974392,1.0,0.0,0.0
131,1.0,2,male,18.0,0,0,7.05,Suburbana,Third,man,True,,Urbana,no,1,0.409264258811136,0.0,0.0,1.0
132,0.0,1,female,51.23885577611046,1,0,14.5,Suburbana,Third,woman,False,,Suburbana,no,1,0.1038476186814787,0.0,1.0,0.0
133,1.0,2,female,20.69923307537668,1,0,26.0,Suburbana,Second,woman,False,,Urbana,yes,0,0.434254151500737,0.0,0.0,1.0
134,0.0,2,male,32.73515748495422,0,0,13.0,Suburbana,Second,man,True,,Urbana,no,0,0.961687400722562,0.0,0.0,1.0
135,1.0,1,male,45.633992236471904,0,0,15.0458,Central,Second,man,True,,Rural,no,1,0.3945530779932498,1.0,0.0,0.0
136,1.0,3,female,26.691127368425576,0,2,26.2833,Suburbana,First,woman,False,D,Urbana,yes,1,0.3612552351456407,0.0,0.0,1.0
137,1.0,2,male,26.233010931306676,1,0,53.1,Suburbana,First,man,True,C,Urbana,no,0,0.2331386068477372,0.0,0.0,1.0
138,0.0,1,male,49.17918880194028,0,0,9.2167,Suburbana,Third,man,True,,Rural,no,1,0.6338302502252645,1.0,0.0,0.0
139,0.0,2,male,18.0,0,0,79.2,Central,First,man,True,B,Urbana,no,0,0.005260724734269,0.0,0.0,1.0
140,1.0,2,female,25.429759867171924,0,2,15.2458,Central,Third,woman,False,,Urbana,no,1,0.2597390214721401,0.0,0.0,1.0
141,1.0,1,female,48.15583618738842,0,0,7.75,Suburbana,Third,woman,False,,Rural,yes,1,0.9314221002157108,1.0,0.0,0.0
142,1.0,2,female,18.0,1,0,15.85,Suburbana,Third,woman,False,,Urbana,yes,1,0.8731401817911649,0.0,0.0,1.0
143,0.0,1,male,45.06351042192369,0,0,6.75,Quito,Third,man,True,,Suburbana,no,1,0.9576038280145128,0.0,1.0,0.0
144,0.0,1,male,44.70179762824742,0,0,11.5,Suburbana,Second,man,True,,Rural,no,1,0.1090624355135445,1.0,0.0,0.0
145,0.0,2,male,23.718415531551788,1,1,36.75,Suburbana,Second,man,True,,Urbana,no,1,0.7739427612096915,0.0,0.0,1.0
146,1.0,1,male,46.63340248944797,0,0,7.7958,Suburbana,Third,man,True,,Suburbana,yes,1,0.6874809116188675,0.0,1.0,0.0
147,1.0,2,female,22.521022527273956,2,2,34.375,Suburbana,Third,child,False,,Urbana,no,0,0.0944625267086943,0.0,0.0,1.0
148,1.0,3,male,25.52357014716642,0,2,26.0,Suburbana,Second,man,True,F,Urbana,no,0,0.311835626692495,0.0,0.0,1.0
149,1.0,2,male,24.08547509571525,0,0,13.0,Suburbana,Second,man,True,,Urbana,no,0,0.3829898788183922,0.0,0.0,1.0
150,1.0,2,male,19.057877892084903,0,0,12.525,Suburbana,Second,man,True,,Urbana,no,1,0.5921917463812756,0.0,0.0,1.0
151,1.0,1,female,49.99914924609574,1,0,66.6,Suburbana,First,woman,False,C,Suburbana,yes,1,0.5633138996964212,0.0,1.0,0.0
152,1.0,1,male,51.08831648634831,0,0,8.05,Suburbana,Third,man,True,,Rural,no,1,0.2921916194600478,1.0,0.0,0.0
153,0.0,3,male,21.300320735173703,0,2,14.5,Suburbana,Third,man,True,,Urbana,no,0,0.2749000844505171,0.0,0.0,1.0
154,0.0,2,male,23.91828010852137,0,0,7.3125,Suburbana,Third,man,True,,Urbana,no,0,0.2226453834341906,0.0,0.0,1.0
155,1.0,3,male,25.1654487556938,0,1,61.3792,Central,First,man,True,,Urbana,no,0,0.683335532304667,0.0,0.0,1.0
156,1.0,3,female,25.917251267907883,0,0,7.7333,Quito,Third,woman,False,,Urbana,yes,1,0.5011322418978773,0.0,0.0,1.0
157,0.0,1,male,48.38073627811086,0,0,8.05,Suburbana,Third,man,True,,Suburbana,no,1,0.1958519252097061,0.0,1.0,0.0
158,0.0,1,male,54.77792685207256,0,0,8.6625,Suburbana,Third,man,True,,Rural,no,1,0.6824119410486437,1.0,0.0,0.0
159,0.0,1,male,42.88118942812496,8,2,69.55,Suburbana,Third,man,True,,Rural,no,1,0.7361361828992004,1.0,0.0,0.0
160,0.0,1,male,41.90794659665552,0,1,16.1,Suburbana,Third,man,True,,Suburbana,no,1,0.7436176998789954,0.0,1.0,0.0
161,1.0,2,female,25.437657354608355,0,0,15.75,Suburbana,Second,woman,False,,Urbana,yes,1,0.4588649374170698,0.0,0.0,1.0
162,0.0,3,male,27.67100585422886,0,0,7.775,Suburbana,Third,man,True,,Urbana,no,1,0.0362771013707409,0.0,0.0,1.0
163,0.0,1,male,48.15472482830967,0,0,8.6625,Suburbana,Third,man,True,,Rural,no,1,0.6648509593811393,1.0,0.0,0.0
164,0.0,1,male,50.71813397482616,4,1,39.6875,Suburbana,Third,child,False,,Suburbana,no,1,0.9951316440571052,0.0,1.0,0.0
165,0.0,1,male,46.3370711202861,0,2,20.525,Suburbana,Third,child,False,,Rural,yes,1,0.480163924842261,1.0,0.0,0.0
166,0.0,1,female,48.05783815353923,0,1,55.0,Suburbana,First,woman,False,E,Rural,yes,1,0.61489810766622,1.0,0.0,0.0
167,1.0,3,female,19.68152204487226,1,4,27.9,Suburbana,Third,woman,False,,Urbana,no,1,0.6648169628642554,0.0,0.0,1.0
168,0.0,1,male,44.90207069432361,0,0,25.925,Suburbana,First,man,True,,Rural,no,1,0.76063214033559,1.0,0.0,0.0
169,0.0,1,male,52.97439203885456,0,0,56.4958,Suburbana,Third,man,True,,Rural,no,1,0.3506165610172035,1.0,0.0,0.0
170,1.0,1,male,49.488002839031886,0,0,33.5,Suburbana,First,man,True,B,Suburbana,no,1,0.8586674408652425,0.0,1.0,0.0
171,0.0,3,male,32.87185618737786,4,1,29.125,Quito,Third,child,False,,Urbana,no,0,0.8354426236410187,0.0,0.0,1.0
172,1.0,2,female,24.40914607816704,1,1,11.1333,Suburbana,Third,child,False,,Urbana,yes,0,0.5516443352986089,0.0,0.0,1.0
173,0.0,3,male,25.235330473292468,0,0,7.925,Suburbana,Third,man,True,,Urbana,no,0,0.0105455567196253,0.0,0.0,1.0
174,1.0,3,male,23.04601001959493,0,0,30.6958,Central,First,man,True,A,Urbana,no,1,0.542671906813613,0.0,0.0,1.0
175,1.0,1,male,48.57093467278182,1,1,7.8542,Suburbana,Third,man,True,,Rural,no,1,0.3872613093848338,1.0,0.0,0.0
176,1.0,3,male,24.621747647057887,3,1,25.4667,Suburbana,Third,man,True,,Urbana,no,1,0.2891315373212735,0.0,0.0,1.0
177,0.0,2,female,18.0,0,0,28.7125,Central,First,woman,False,C,Urbana,no,0,0.4591760074802014,0.0,0.0,1.0
178,1.0,3,male,20.00904135884068,0,0,13.0,Suburbana,Second,man,True,,Urbana,no,0,0.2586678591076422,0.0,0.0,1.0
179,0.0,1,male,46.938018266239546,0,0,0.0,Suburbana,Third,man,True,,Suburbana,no,1,0.0307107674019412,0.0,1.0,0.0
180,1.0,3,female,18.0,8,2,69.55,Suburbana,Third,woman,False,,Urbana,no,0,0.6431679121646683,0.0,0.0,1.0
181,0.0,3,male,20.932020014527467,0,0,15.05,Central,Second,man,True,,Urbana,no,0,0.1840526805965741,0.0,0.0,1.0
182,1.0,2,male,28.12559328216865,4,2,31.3875,Suburbana,Third,child,False,,Urbana,no,0,0.0149953239897462,0.0,0.0,1.0
183,1.0,3,male,23.27901771766309,2,1,39.0,Suburbana,Second,child,False,F,Urbana,yes,1,0.3255158769952769,0.0,0.0,1.0
184,1.0,1,female,47.5459283751069,0,2,22.025,Suburbana,Third,child,False,,Suburbana,yes,1,0.814785048716905,0.0,1.0,0.0
185,1.0,3,male,26.421572594989723,0,0,50.0,Suburbana,First,man,True,A,Urbana,no,1,0.9203692762935416,0.0,0.0,1.0
186,0.0,2,female,21.2626341096731,1,0,15.5,Quito,Third,woman,False,,Urbana,yes,1,0.9388737879922884,0.0,0.0,1.0
187,0.0,2,male,22.02675115139797,0,0,26.55,Suburbana,First,man,True,,Urbana,yes,1,0.7259915839512805,0.0,0.0,1.0
188,0.0,1,male,47.65131089883855,1,1,15.5,Quito,Third,man,True,,Rural,no,1,0.2207517244356337,1.0,0.0,0.0
189,0.0,1,male,46.911776502038585,0,0,7.8958,Suburbana,Third,man,True,,Suburbana,no,1,0.236528087389764,0.0,1.0,0.0
190,0.0,1,female,42.52723003218651,0,0,13.0,Suburbana,Second,woman,False,,Rural,yes,1,0.5079225851711354,1.0,0.0,0.0
191,0.0,2,male,18.0,0,0,13.0,Suburbana,Second,man,True,,Urbana,no,0,0.2897973094083013,0.0,0.0,1.0
192,0.0,1,female,48.5500175977728,1,0,7.8542,Suburbana,Third,woman,False,,Rural,yes,1,0.274193092840962,1.0,0.0,0.0
193,1.0,2,male,34.16717680907839,1,1,26.0,Suburbana,Second,child,False,F,Urbana,yes,1,0.4452806278136106,0.0,0.0,1.0
194,0.0,1,female,45.11848685510056,0,0,27.7208,Central,First,woman,False,B,Rural,yes,1,0.0642088662282067,1.0,0.0,0.0
